[0;32mI (56192) app_main: t=1605354915 178142000[0m
[0;32mI (57182) app_main: t=1605354916 168142000[0m
RX 57473185 1295 1295 a 0
RX 57473449 264 260 b 1
RX 57473729 280 280 b 0
RX 57473992 263 260 b 1
RX 57475287 1295 1295 a 0
RX 57475551 264 260 b 1
RX 57475830 279 275 b 0
RX 57476094 264 260 b 1
RX 57477436 1342 1340 a 0
RX 57477702 266 265 b 1
RX 57478994 1292 1290 a 0
RX 57479263 269 265 b 1
RX 57479542 279 275 b 0
RX 57479807 265 265 b 1
RX 57481099 1292 1290 a 0
RX 57481368 269 265 b 1
RX 57481638 270 270 b 0
RX 57481908 270 270 b 1
RX 57483197 1289 1285 a 0
RX 57483460 263 260 b 1
RX 57483736 276 275 b 0
RX 57484006 270 270 b 1
RX 57484282 276 275 b 0
RX 57484548 266 265 b 1
RX 57485818 1270 1270 a 0
RX 57486056 238 235 b 1
RX 57496549 10493 10490 S 0
[0;32mI (58172) app_main: t=1605354917 158123000[0m
Code S0b1s0b1a0b1b0b1a0b1b0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1 ok 0
RX 57496813 264 260 b 1
RX 57499526 2713 2710 s 0
RX 57499796 270 270 b 1
RX 57501083 1287 1285 a 0
RX 57501348 265 265 b 1
RX 57501622 274 270 b 0
RX 57501892 270 270 b 1
RX 57503177 1285 1285 a 0
RX 57503450 273 270 b 1
RX 57503721 271 270 b 0
RX 57503990 269 265 b 1
RX 57504264 274 270 b 0
RX 57504533 269 265 b 1
RX 57505822 1289 1285 a 0
RX 57506095 273 270 b 1
RX 57506364 269 265 b 0
RX 57506635 271 270 b 1
RX 57507973 1338 1335 a 0
RX 57508243 270 270 b 1
RX 57509528 1285 1285 a 0
RX 57509798 270 270 b 1
RX 57510076 278 275 b 0
RX 57510342 266 265 b 1
RX 57511628 1286 1285 a 0
RX 57511899 271 270 b 1
RX 57512170 271 270 b 0
RX 57512440 270 270 b 1
RX 57513729 1289 1285 a 0
RX 57513994 265 265 b 1
RX 57514270 276 275 b 0
RX 57514539 269 265 b 1
RX 57514809 270 270 b 0
RX 57515078 269 265 b 1
RX 57516423 1345 1345 a 0
RX 57516697 274 270 b 1
RX 57517979 1282 1280 a 0
RX 57518248 269 265 b 1
RX 57518523 275 275 b 0
RX 57518789 266 265 b 1
RX 57520076 1287 1285 a 0
RX 57520346 270 270 b 1
RX 57520621 275 275 b 0
RX 57520892 271 270 b 1
RX 57522178 1286 1285 a 0
RX 57522446 268 265 b 1
RX 57522718 272 270 b 0
RX 57522987 269 265 b 1
RX 57523261 274 270 b 0
RX 57523531 270 270 b 1
RX 57524869 1338 1335 a 0
RX 57525137 268 265 b 1
RX 57526426 1289 1285 a 0
RX 57526696 270 270 b 1
RX 57526965 269 265 b 0
RX 57527239 274 270 b 1
RX 57527505 266 265 b 0
RX 57527778 273 270 b 1
RX 57529066 1288 1285 a 0
RX 57529336 270 270 b 1
RX 57530622 1286 1285 a 0
RX 57530892 270 270 b 1
RX 57531165 273 270 b 0
RX 57531435 270 270 b 1
RX 57532725 1290 1290 a 0
RX 57532992 267 265 b 1
RX 57533316 324 320 b 0
RX 57533590 274 270 b 1
RX 57534871 1281 1280 a 0
RX 57535143 272 270 b 1
RX 57535413 270 270 b 0
RX 57535683 270 270 b 1
RX 57536968 1285 1285 a 0
RX 57537239 271 270 b 1
RX 57537513 274 270 b 0
RX 57537784 271 270 b 1
RX 57539071 1287 1285 a 0
RX 57539341 270 270 b 1
RX 57539608 267 265 b 0
RX 57539882 274 270 b 1
RX 57541164 1282 1280 a 0
RX 57541437 273 270 b 1
RX 57541760 323 320 b 0
RX 57542031 271 270 b 1
RX 57543314 1283 1280 a 0
RX 57543585 271 270 b 1
RX 57543855 270 270 b 0
RX 57544128 273 270 b 1
RX 57544397 269 265 b 0
RX 57544672 275 275 b 1
RX 57545955 1283 1280 a 0
RX 57546228 273 270 b 1
RX 57547518 1290 1290 a 0
RX 57547783 265 265 b 1
RX 57548051 268 265 b 0
RX 57548321 270 270 b 1
RX 57549615 1294 1290 a 0
RX 57549884 269 265 b 1
RX 57550207 323 320 b 0
RX 57550476 269 265 b 1
RX 57551762 1286 1285 a 0
RX 57552037 275 275 b 1
RX 57552303 266 265 b 0
RX 57552572 269 265 b 1
RX 57552842 270 270 b 0
RX 57553112 270 270 b 1
RX 57554402 1290 1290 a 0
RX 57554673 271 270 b 1
RX 57554939 266 265 b 0
RX 57555210 271 270 b 1
RX 57556503 1293 1290 a 0
RX 57556774 271 270 b 1
RX 57557040 266 265 b 0
RX 57557310 270 270 b 1
RX 57558648 1338 1335 a 0
RX 57558919 271 270 b 1
RX 57560202 1283 1280 a 0
RX 57560471 269 265 b 1
RX 57560746 275 275 b 0
RX 57561015 269 265 b 1
RX 57562304 1289 1285 a 0
RX 57562578 274 270 b 1
RX 57562841 263 260 b 0
RX 57563113 272 270 b 1
RX 57564397 1284 1280 a 0
RX 57564671 274 270 b 1
RX 57564941 270 270 b 0
RX 57565211 270 270 b 1
RX 57565481 270 270 b 0
RX 57565751 270 270 b 1
RX 57567014 1263 1260 a 0
RX 57567259 245 245 b 1
RX 57577744 10485 10485 S 0
Code S0b1s0b1a0b1b0b1a0b1b0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1 ok 0
RX 57578009 265 265 b 1
RX 57580716 2707 2705 s 0
RX 57580991 275 275 b 1
RX 57582270 1279 1275 a 0
RX 57582548 278 275 b 1
RX 57582813 265 265 b 0
RX 57583083 270 270 b 1
RX 57584367 1284 1280 a 0
RX 57584643 276 275 b 1
RX 57584908 265 265 b 0
RX 57585185 277 275 b 1
RX 57585446 261 260 b 0
RX 57585724 278 275 b 1
RX 57587009 1285 1285 a 0
RX 57587285 276 275 b 1
RX 57587545 260 260 b 0
RX 57587823 278 275 b 1
RX 57589153 1330 1330 a 0
RX 57589432 279 275 b 1
RX 57590710 1278 1275 a 0
RX 57590985 275 275 b 1
RX 57591255 270 270 b 0
RX 57591525 270 270 b 1
RX 57592809 1284 1280 a 0
RX 57593084 275 275 b 1
RX 57593347 263 260 b 0
RX 57593624 277 275 b 1
RX 57594904 1280 1280 a 0
RX 57595172 268 265 b 1
RX 57595449 277 275 b 0
RX 57595719 270 270 b 1
RX 57595985 266 265 b 0
RX 57596262 277 275 b 1
RX 57597598 1336 1335 a 0
RX 57597873 275 275 b 1
RX 57599152 1279 1275 a 0
RX 57599425 273 270 b 1
RX 57599694 269 265 b 0
RX 57599965 271 270 b 1
RX 57601250 1285 1285 a 0
RX 57601525 275 275 b 1
RX 57601790 265 265 b 0
RX 57602065 275 275 b 1
RX 57603348 1283 1280 a 0
RX 57603620 272 270 b 1
RX 57603888 268 265 b 0
RX 57604162 274 270 b 1
RX 57604432 270 270 b 0
RX 57604707 275 275 b 1
RX 57606036 1329 1325 a 0
RX 57606312 276 275 b 1
RX 57607592 1280 1280 a 0
RX 57607867 275 275 b 1
RX 57608132 265 265 b 0
RX 57608407 275 275 b 1
RX 57608672 265 265 b 0
RX 57608950 278 275 b 1
RX 57610234 1284 1280 a 0
RX 57610509 275 275 b 1
RX 57611787 1278 1275 a 0
RX 57612064 277 275 b 1
RX 57612326 262 260 b 0
RX 57612604 278 275 b 1
RX 57613888 1284 1280 a 0
RX 57614167 279 275 b 1
RX 57614481 314 310 b 0
RX 57614755 274 270 b 1
RX 57616036 1281 1280 a 0
RX 57616309 273 270 b 1
RX 57616573 264 260 b 0
RX 57616847 274 270 b 1
RX 57618130 1283 1280 a 0
RX 57618404 274 270 b 1
RX 57618673 269 265 b 0
RX 57618952 279 275 b 1
RX 57620229 1277 1275 a 0
RX 57620504 275 275 b 1
RX 57620772 268 265 b 0
RX 57621044 272 270 b 1
RX 57622328 1284 1280 a 0
RX 57622600 272 270 b 1
RX 57622917 317 315 b 0
RX 57623196 279 275 b 1
RX 57624476 1280 1280 a 0
RX 57624751 275 275 b 1
RX 57625017 266 265 b 0
RX 57625291 274 270 b 1
RX 57625557 266 265 b 0
RX 57625828 271 270 b 1
RX 57627116 1288 1285 a 0
RX 57627390 274 270 b 1
RX 57628670 1280 1280 a 0
RX 57628943 273 270 b 1
RX 57629208 265 265 b 0
RX 57629483 275 275 b 1
RX 57630770 1287 1285 a 0
RX 57631045 275 275 b 1
RX 57631360 315 315 b 0
RX 57631636 276 275 b 1
RX 57632915 1279 1275 a 0
RX 57633190 275 275 b 1
RX 57633458 268 265 b 0
RX 57633734 276 275 b 1
RX 57633999 265 265 b 0
RX 57634275 276 275 b 1
RX 57635555 1280 1280 a 0
RX 57635831 276 275 b 1
RX 57636096 265 265 b 0
RX 57636366 270 270 b 1
RX 57637656 1290 1290 a 0
RX 57637932 276 275 b 1
RX 57638197 265 265 b 0
RX 57638468 271 270 b 1
RX 57639802 1334 1330 a 0
RX 57640074 272 270 b 1
RX 57641358 1284 1280 a 0
RX 57641630 272 270 b 1
RX 57641899 269 265 b 0
RX 57642175 276 275 b 1
RX 57643455 1280 1280 a 0
RX 57643729 274 270 b 1
RX 57643994 265 265 b 0
RX 57644269 275 275 b 1
RX 57645552 1283 1280 a 0
RX 57645828 276 275 b 1
