[0;32mI (79022) app_main: t=1605354938 8142000[0m
[0;32mI (80022) app_main: t=1605354939 8142000[0m
RX 80761466 1271 1270 a 0
RX 80761753 287 285 b 1
RX 80762010 257 255 b 0
RX 80762298 288 285 b 1
RX 80763567 1269 1265 a 0
RX 80763851 284 280 b 1
RX 80764110 259 255 b 0
RX 80764395 285 285 b 1
RX 80765666 1271 1270 a 0
RX 80765952 286 285 b 1
RX 80766207 255 255 b 0
RX 80766492 285 285 b 1
RX 80766746 254 250 b 0
RX 80767034 288 285 b 1
RX 80768362 1328 1325 a 0
RX 80768647 285 285 b 1
RX 80769921 1274 1270 a 0
RX 80770201 280 280 b 1
RX 80770460 259 255 b 0
RX 80770745 285 285 b 1
RX 80770999 254 250 b 0
RX 80771284 285 285 b 1
RX 80772559 1275 1275 a 0
RX 80772844 285 285 b 1
RX 80774117 1273 1270 a 0
RX 80774402 285 285 b 1
RX 80774654 252 250 b 0
RX 80774942 288 285 b 1
RX 80776213 1271 1270 a 0
RX 80776497 284 280 b 1
RX 80776805 308 305 b 0
RX 80777085 280 280 b 1
RX 80778363 1278 1275 a 0
RX 80778648 285 285 b 1
RX 80778908 260 260 b 0
RX 80779195 287 285 b 1
RX 80780462 1267 1265 a 0
RX 80780747 285 285 b 1
RX 80781002 255 255 b 0
RX 80781289 287 285 b 1
RX 80782562 1273 1270 a 0
RX 80782846 284 280 b 1
RX 80783107 261 260 b 0
RX 80783388 281 280 b 1
RX 80784660 1272 1270 a 0
RX 80784947 287 285 b 1
RX 80785251 304 300 b 0
RX 80785539 288 285 b 1
RX 80786809 1270 1270 a 0
RX 80787097 288 285 b 1
RX 80787350 253 250 b 0
RX 80787638 288 285 b 1
RX 80787893 255 255 b 0
RX 80788178 285 285 b 1
RX 80789455 1277 1275 a 0
RX 80789739 284 280 b 1
RX 80791009 1270 1270 a 0
RX 80791290 281 280 b 1
RX 80791549 259 255 b 0
RX 80791831 282 280 b 1
RX 80793106 1275 1275 a 0
RX 80793388 282 280 b 1
RX 80793699 311 310 b 0
RX 80793984 285 285 b 1
RX 80795253 1269 1265 a 0
RX 80795538 285 285 b 1
RX 80795796 258 255 b 0
RX 80796078 282 280 b 1
RX 80796336 258 255 b 0
RX 80796620 284 280 b 1
RX 80797900 1280 1280 a 0
RX 80798182 282 280 b 1
RX 80798436 254 250 b 0
RX 80798723 287 285 b 1
RX 80799996 1273 1270 a 0
RX 80800280 284 280 b 1
RX 80800532 252 250 b 0
RX 80800819 287 285 b 1
RX 80802148 1329 1325 a 0
RX 80802430 282 280 b 1
RX 80803700 1270 1270 a 0
RX 80803988 288 285 b 1
RX 80804243 255 255 b 0
RX 80804525 282 280 b 1
RX 80805799 1274 1270 a 0
RX 80806080 281 280 b 1
RX 80806338 258 255 b 0
RX 80806626 288 285 b 1
RX 80806878 252 250 b 0
RX 80807162 284 280 b 1
RX 80808442 1280 1280 a 0
RX 80808722 280 280 b 1
RX 80809997 1275 1275 a 0
RX 80810278 281 280 b 1
RX 80810517 239 235 b 0
RX 80810764 247 245 b 1
RX 80821240 10476 10475 S 0
Code S0b1s0b1a0b1b0b1a0b1b0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1 ok 0
RX 80821523 283 280 b 1
RX 80824213 2690 2690 s 0
RX 80824500 287 285 b 1
RX 80825769 1269 1265 a 0
RX 80826058 289 285 b 1
RX 80826312 254 250 b 0
RX 80826597 285 285 b 1
RX 80827870 1273 1270 a 0
RX 80828155 285 285 b 1
RX 80828411 256 255 b 0
RX 80828696 285 285 b 1
RX 80828947 251 250 b 0
RX 80829234 287 285 b 1
RX 80830504 1270 1270 a 0
RX 80830792 288 285 b 1
RX 80831049 257 255 b 0
RX 80831336 287 285 b 1
RX 80832655 1319 1315 a 0
RX 80832943 288 285 b 1
RX 80834204 1261 1260 a 0
RX 80834500 296 295 b 1
RX 80834750 250 250 b 0
RX 80835035 285 285 b 1
