[0;32mI (442926) app_main: t=1605635635 16080000[0m
[0;32mI (443916) app_main: t=1605635636 6080000[0m
[0;32mI (444916) app_main: t=1605635637 6080000[0m
RX 445337392 1277 1275 a 0
RX 445337678 286 285 b 1
RX 445337936 258 255 b 0
RX 445338224 288 285 b 1
RX 445339509 1285 1285 a 0
RX 445339796 287 285 b 1
RX 445340106 310 310 b 0
RX 445340394 288 285 b 1
RX 445341673 1279 1275 a 0
RX 445341959 286 285 b 1
RX 445342219 260 260 b 0
RX 445342507 288 285 b 1
RX 445342766 259 255 b 0
RX 445343054 288 285 b 1
RX 445344336 1282 1280 a 0
RX 445344622 286 285 b 1
RX 445344880 258 255 b 0
RX 445345168 288 285 b 1
RX 445346451 1283 1280 a 0
RX 445346735 284 280 b 1
RX 445348017 1282 1280 a 0
RX 445348303 286 285 b 1
RX 445348613 310 310 b 0
RX 445348898 285 285 b 1
RX 445350181 1283 1280 a 0
RX 445350467 286 285 b 1
RX 445350725 258 255 b 0
RX 445351012 287 285 b 1
RX 445352297 1285 1285 a 0
RX 445352583 286 285 b 1
RX 445352841 258 255 b 0
RX 445353128 287 285 b 1
RX 445354409 1281 1280 a 0
RX 445354694 285 285 b 1
RX 445354953 259 255 b 0
RX 445355241 288 285 b 1
RX 445356526 1285 1285 a 0
RX 445356812 286 285 b 1
RX 445357044 232 230 b 0
RX 445357305 261 260 b 1
RX 445367808 10503 10500 S 0
Code S0b1s0b1a0b1b0b1a0b1b0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1 ok S35313351335151333333513353133333
RX 445368092 284 280 b 1
RX 445370792 2700 2700 s 0
RX 445371081 289 285 b 1
RX 445372355 1274 1270 a 0
RX 445372645 290 290 b 1
RX 445372897 252 250 b 0
RX 445373191 294 290 b 1
RX 445374465 1274 1270 a 0
RX 445374755 290 290 b 1
RX 445375010 255 255 b 0
RX 445375302 292 290 b 1
RX 445375557 255 255 b 0
RX 445375849 292 290 b 1
RX 445377129 1280 1280 a 0
RX 445377421 292 290 b 1
RX 445377671 250 250 b 0
RX 445377966 295 295 b 1
RX 445379291 1325 1325 a 0
RX 445379582 291 290 b 1
RX 445380855 1273 1270 a 0
RX 445381145 290 290 b 1
RX 445381403 258 255 b 0
RX 445381696 293 290 b 1
RX 445382970 1274 1270 a 0
RX 445383263 293 290 b 1
RX 445383513 250 250 b 0
RX 445383807 294 290 b 1
RX 445385079 1272 1270 a 0
RX 445385370 291 290 b 1
RX 445385626 256 255 b 0
RX 445385918 292 290 b 1
RX 445386173 255 255 b 0
RX 445386465 292 290 b 1
RX 445387797 1332 1330 a 0
RX 445388088 291 290 b 1
RX 445389360 1272 1270 a 0
RX 445389654 294 290 b 1
RX 445389904 250 250 b 0
RX 445390198 294 290 b 1
RX 445391471 1273 1270 a 0
RX 445391763 292 290 b 1
RX 445392019 256 255 b 0
RX 445392315 296 295 b 1
RX 445393587 1272 1270 a 0
RX 445393878 291 290 b 1
RX 445394133 255 255 b 0
RX 445394425 292 290 b 1
RX 445394679 254 250 b 0
RX 445394972 293 290 b 1
RX 445396298 1326 1325 a 0
RX 445396589 291 290 b 1
RX 445397862 1273 1270 a 0
RX 445398153 291 290 b 1
RX 445398409 256 255 b 0
RX 445398702 293 290 b 1
RX 445398955 253 250 b 0
RX 445399246 291 290 b 1
RX 445400527 1281 1280 a 0
RX 445400818 291 290 b 1
RX 445402089 1271 1270 a 0
RX 445402384 295 295 b 1
RX 445402635 251 250 b 0
RX 445402927 292 290 b 1
RX 445404205 1278 1275 a 0
RX 445404497 292 290 b 1
RX 445404804 307 305 b 0
RX 445405095 291 290 b 1
RX 445406366 1271 1270 a 0
RX 445406659 293 290 b 1
RX 445406911 252 250 b 0
RX 445407205 294 290 b 1
RX 445408478 1273 1270 a 0
RX 445408769 291 290 b 1
RX 445409027 258 255 b 0
RX 445409322 295 295 b 1
RX 445410592 1270 1270 a 0
RX 445410885 293 290 b 1
RX 445411137 252 250 b 0
RX 445411432 295 295 b 1
RX 445412703 1271 1270 a 0
RX 445412996 293 290 b 1
RX 445413301 305 305 b 0
RX 445413595 294 290 b 1
RX 445414867 1272 1270 a 0
RX 445415160 293 290 b 1
RX 445415413 253 250 b 0
RX 445415706 293 290 b 1
RX 445415961 255 255 b 0
RX 445416254 293 290 b 1
RX 445417529 1275 1275 a 0
RX 445417823 294 290 b 1
RX 445419094 1271 1270 a 0
RX 445419387 293 290 b 1
RX 445419637 250 250 b 0
RX 445419933 296 295 b 1
RX 445421210 1277 1275 a 0
RX 445421503 293 290 b 1
RX 445421806 303 300 b 0
RX 445422100 294 290 b 1
RX 445423372 1272 1270 a 0
RX 445423664 292 290 b 1
RX 445423917 253 250 b 0
RX 445424210 293 290 b 1
RX 445424465 255 255 b 0
RX 445424756 291 290 b 1
RX 445426030 1274 1270 a 0
RX 445426324 294 290 b 1
RX 445426576 252 250 b 0
RX 445426869 293 290 b 1
RX 445428144 1275 1275 a 0
RX 445428437 293 290 b 1
RX 445429709 1272 1270 a 0
RX 445430002 293 290 b 1
RX 445430304 302 300 b 0
RX 445430600 296 295 b 1
RX 445431871 1271 1270 a 0
RX 445432164 293 290 b 1
RX 445432414 250 250 b 0
RX 445432709 295 295 b 1
RX 445433987 1278 1275 a 0
RX 445434280 293 290 b 1
RX 445434528 248 245 b 0
RX 445434824 296 295 b 1
RX 445436096 1272 1270 a 0
RX 445436390 294 290 b 1
RX 445436639 249 245 b 0
RX 445436935 296 295 b 1
RX 445438212 1277 1275 a 0
RX 445438505 293 290 b 1
RX 445438728 223 220 b 0
RX 445438999 271 270 b 1
RX 445449491 10492 10490 S 0
Code S0b1s0b1a0b1b0b1a0b1b0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1 ok S35313351335151333333513353133333
RX 445449782 291 290 b 1
RX 445452477 2695 2695 s 0
RX 445452775 298 295 b 1
RX 445454039 1264 1260 a 0
RX 445454337 298 295 b 1
RX 445454581 244 240 b 0
RX 445454882 301 300 b 1
RX 445456149 1267 1265 a 0
RX 445456446 297 295 b 1
RX 445456694 248 245 b 0
RX 445456995 301 300 b 1
RX 445457239 244 240 b 0
RX 445457540 301 300 b 1
RX 445458811 1271 1270 a 0
RX 445459110 299 295 b 1
RX 445459354 244 240 b 0
RX 445459653 299 295 b 1
RX 445460971 1318 1315 a 0
RX 445461270 299 295 b 1
RX 445462537 1267 1265 a 0
RX 445462833 296 295 b 1
RX 445463084 251 250 b 0
RX 445463384 300 300 b 1
RX 445464651 1267 1265 a 0
RX 445464947 296 295 b 1
RX 445465194 247 245 b 0
RX 445465492 298 295 b 1
RX 445466762 1270 1270 a 0
RX 445467057 295 295 b 1
RX 445467306 249 245 b 0
RX 445467604 298 295 b 1
RX 445467853 249 245 b 0
RX 445468150 297 295 b 1
RX 445469477 1327 1325 a 0
RX 445469772 295 295 b 1
RX 445471040 1268 1265 a 0
RX 445471334 294 290 b 1
RX 445471583 249 245 b 0
RX 445471879 296 295 b 1
RX 445473150 1271 1270 a 0
RX 445473446 296 295 b 1
RX 445473698 252 250 b 0
RX 445473994 296 295 b 1
RX 445475264 1270 1270 a 0
RX 445475558 294 290 b 1
RX 445475809 251 250 b 0
RX 445476106 297 295 b 1
