[0;32mI (19152) app_main: t=1605354878 138142000[0m
[0;32mI (20142) app_main: t=1605354879 128142000[0m
[0;32mI (21132) app_main: t=1605354880 118142000[0m
RX 21175037 290 290 b 1
RX 21176312 1275 1275 a 0
RX 21176597 285 285 b 1
RX 21176854 257 255 b 0
RX 21177144 290 290 b 1
RX 21177399 255 255 b 0
RX 21177690 291 290 b 1
RX 21179013 1323 1320 a 0
RX 21179303 290 290 b 1
RX 21180577 1274 1270 a 0
RX 21180863 286 285 b 1
RX 21181120 257 255 b 0
RX 21181409 289 285 b 1
RX 21181664 255 255 b 0
RX 21181953 289 285 b 1
RX 21183231 1278 1275 a 0
RX 21183519 288 285 b 1
RX 21184794 1275 1275 a 0
RX 21185089 295 295 b 1
RX 21185335 246 245 b 0
RX 21185624 289 285 b 1
RX 21186906 1282 1280 a 0
RX 21187193 287 285 b 1
RX 21187497 304 300 b 0
RX 21187787 290 290 b 1
RX 21189061 1274 1270 a 0
RX 21189348 287 285 b 1
RX 21189604 256 255 b 0
RX 21189892 288 285 b 1
RX 21191167 1275 1275 a 0
RX 21191455 288 285 b 1
RX 21191713 258 255 b 0
RX 21192003 290 290 b 1
RX 21193277 1274 1270 a 0
RX 21193564 287 285 b 1
RX 21193818 254 250 b 0
RX 21194108 290 290 b 1
RX 21195381 1273 1270 a 0
RX 21195671 290 290 b 1
RX 21195977 306 305 b 0
RX 21196266 289 285 b 1
RX 21197541 1275 1275 a 0
RX 21197829 288 285 b 1
RX 21198084 255 255 b 0
RX 21198375 291 290 b 1
RX 21198631 256 255 b 0
RX 21198918 287 285 b 1
RX 21200195 1277 1275 a 0
RX 21200484 289 285 b 1
RX 21201758 1274 1270 a 0
RX 21202045 287 285 b 1
RX 21202298 253 250 b 0
RX 21202588 290 290 b 1
RX 21203868 1280 1280 a 0
RX 21204155 287 285 b 1
RX 21204461 306 305 b 0
RX 21204749 288 285 b 1
RX 21206024 1275 1275 a 0
RX 21206310 286 285 b 1
RX 21206566 256 255 b 0
RX 21206854 288 285 b 1
RX 21207111 257 255 b 0
RX 21207399 288 285 b 1
RX 21208672 1273 1270 a 0
RX 21208961 289 285 b 1
RX 21209214 253 250 b 0
RX 21209504 290 290 b 1
RX 21210779 1275 1275 a 0
RX 21211068 289 285 b 1
RX 21212341 1273 1270 a 0
RX 21212629 288 285 b 1
RX 21212934 305 305 b 0
RX 21213223 289 285 b 1
RX 21214497 1274 1270 a 0
RX 21214785 288 285 b 1
RX 21215037 252 250 b 0
RX 21215328 291 290 b 1
RX 21216606 1278 1275 a 0
RX 21216893 287 285 b 1
RX 21217145 252 250 b 0
RX 21217435 290 290 b 1
RX 21218709 1274 1270 a 0
RX 21218996 287 285 b 1
RX 21219249 253 250 b 0
RX 21219539 290 290 b 1
RX 21220817 1278 1275 a 0
RX 21221104 287 285 b 1
RX 21221331 227 225 b 0
RX 21221593 262 260 b 1
RX 21232080 10487 10485 S 0
Code S0b1s0b1a0b1b0b1a0b1b0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1 ok 0
RX 21232364 284 280 b 1
RX 21235060 2696 2695 s 0
RX 21235348 288 285 b 1
RX 21236617 1269 1265 a 0
RX 21236909 292 290 b 1
RX 21237156 247 245 b 0
RX 21237449 293 290 b 1
RX 21238717 1268 1265 a 0
RX 21239010 293 290 b 1
RX 21239260 250 250 b 0
RX 21239552 292 290 b 1
RX 21239803 251 250 b 0
RX 21240096 293 290 b 1
RX 21241372 1276 1275 a 0
RX 21241663 291 290 b 1
RX 21241911 248 245 b 0
RX 21242203 292 290 b 1
RX 21243524 1321 1320 a 0
RX 21243815 291 290 b 1
RX 21245087 1272 1270 a 0
RX 21245375 288 285 b 1
RX 21245631 256 255 b 0
RX 21245921 290 290 b 1
RX 21247190 1269 1265 a 0
RX 21247484 294 290 b 1
RX 21247731 247 245 b 0
RX 21248024 293 290 b 1
RX 21249293 1269 1265 a 0
RX 21249587 294 290 b 1
